Column 0,Mes,Subagencia,SKU,Hectolitros,Hectolitros Standard Deviation
545524,2/3/18 0:00,10197,1,492.6239367,154.55588
545525,2/3/18 0:00,10203,1,18.0743947,7.98707596
545526,2/3/18 0:00,10198,1,22.87059152,9.19864452
545527,2/3/18 0:00,10204,1,45.30300656,10.88359001
545528,2/3/18 0:00,10199,1,31.35064108,17.52269677
545529,2/3/18 0:00,10146,1,888.8069277,858.0778
545530,2/3/18 0:00,10206,1,52.78702374,8.902914886
545531,2/3/18 0:00,10207,1,10.58352541,4.137727054
545532,2/3/18 0:00,10156,1,116.9087461,110.0743169
545533,2/3/18 0:00,10209,1,291.444906,57.58481172
545534,2/3/18 0:00,10211,1,18.5226648,25.96171893
545535,2/3/18 0:00,10212,1,57.28452059,27.21331358
545536,2/3/18 0:00,10158,1,1200.595977,565.4801317
545537,2/3/18 0:00,10214,1,356.0420467,154.3633549
545538,2/3/18 0:00,10215,1,115.5820133,89.02642811
545539,2/3/18 0:00,10216,1,115.5715392,86.89821917
545540,2/3/18 0:00,10217,1,9.839588935,23.17091217
545541,2/3/18 0:00,10218,1,58.27989889,31.07700364
545542,2/3/18 0:00,10129,1,697.3079516,392.1979247
545543,2/3/18 0:00,10130,1,230.4197499,206.1749035
545544,2/3/18 0:00,10131,1,139.7067904,104.6909913
545545,2/3/18 0:00,10159,1,72.03497546,72.64332663
545546,2/3/18 0:00,10133,1,50.46636279,76.30420096
545547,2/3/18 0:00,10134,1,58.94806643,77.50250264
545548,2/3/18 0:00,10135,1,51.56322024,76.715226
545549,2/3/18 0:00,10136,1,50.79930564,77.03146707
545550,2/3/18 0:00,10161,1,160.3363363,47.927277
545551,2/3/18 0:00,10141,1,79.45403636,68.76996508
545552,2/3/18 0:00,10169,1,33.5763481,47.09160697
545553,2/3/18 0:00,10229,1,147.5252797,44.90027459
545554,2/3/18 0:00,10231,1,14.62266752,6.902747992
545555,2/3/18 0:00,10259,1,21.14975574,12.95085997
545556,2/3/18 0:00,10176,1,16.99735148,49.98063101
545557,2/3/18 0:00,10003,1,27.76465876,3.861175487
545558,2/3/18 0:00,10233,1,3.888384363,1.798296021
545559,2/3/18 0:00,10234,1,15.39522034,4.941743027
545560,2/3/18 0:00,10235,1,8.272703209,3.831573888
545561,2/3/18 0:00,10005,1,2.809196232,0.823622405
545562,2/3/18 0:00,10236,1,4.480268288,2.862666793
545563,2/3/18 0:00,10237,1,1.00437501,2.454058948
545564,2/3/18 0:00,10006,1,927.1076096,340.190194
545565,2/3/18 0:00,10007,1,138.1068738,60.33737534
545566,2/3/18 0:00,10008,1,140.7568625,93.5268703
545567,2/3/18 0:00,10009,1,79.11669794,58.72112361
545568,2/3/18 0:00,10010,1,191.5991658,81.36653756
545569,2/3/18 0:00,10011,1,222.4736023,90.71422697
545570,2/3/18 0:00,10012,1,60.10354341,17.96279521
545571,2/3/18 0:00,10240,1,59.55877819,19.41215809
545572,2/3/18 0:00,10026,1,105.2885249,41.3581939
545573,2/3/18 0:00,10027,1,50.47290341,21.82689373
545574,2/3/18 0:00,10241,1,66.46489473,27.92835307
545575,2/3/18 0:00,10031,1,51.82776118,21.10514108
545576,2/3/18 0:00,10037,1,81.32702291,20.91280481
545577,2/3/18 0:00,10038,1,8.072256566,13.00006994
545578,2/3/18 0:00,10039,1,8.536026532,12.82734683
545579,2/3/18 0:00,10040,1,39.32958477,14.86440524
545580,2/3/18 0:00,10041,1,289.9843231,48.46224292
545581,2/3/18 0:00,10042,1,4.71333359,5.88434823
545582,2/3/18 0:00,10043,1,8.713515199,5.32412837
545583,2/3/18 0:00,10243,1,3.225117263,13.02467724
545584,2/3/18 0:00,10044,1,1.605674909,3.835793432
545585,2/3/18 0:00,10046,1,0.945779609,2.812179897
545586,2/3/18 0:00,10048,1,98.02117415,51.62101522
545587,2/3/18 0:00,10050,1,61.96143373,39.03855248
545588,2/3/18 0:00,10183,1,17.0218233,49.94710039
545589,2/3/18 0:00,10245,1,5.15691794,6.527998868
545590,2/3/18 0:00,10246,1,4.173215363,6.857894724
545591,2/3/18 0:00,10186,1,126.7833831,63.71125914
545592,2/3/18 0:00,10188,1,193.8764515,71.53236896
545593,2/3/18 0:00,10189,1,29.07094766,47.58260681
545594,2/3/18 0:00,10058,1,26.71698549,9.3204107
545595,2/3/18 0:00,10059,1,0.217028282,0.41448435
545596,2/3/18 0:00,10249,1,6.010722012,6.87023469
545597,2/3/18 0:00,10060,1,1002.874054,465.6958339
545598,2/3/18 0:00,10063,1,98.18741376,63.3025031
545599,2/3/18 0:00,10073,1,3.188706351,2.58754004
545600,2/3/18 0:00,10077,1,1.97657167,1.15626518
545601,2/3/18 0:00,10080,1,0.803724508,1.033627747
545602,2/3/18 0:00,10081,1,0.649298881,0.880081096
545603,2/3/18 0:00,10082,1,17.48886048,102.0732314
545604,2/3/18 0:00,10083,1,428.3835759,225.3753686
545605,2/3/18 0:00,10087,1,228.2036938,191.2033165
545606,2/3/18 0:00,10091,1,406.5038113,225.834931
545607,2/3/18 0:00,10092,1,179.4613184,209.4004436
545608,2/3/18 0:00,10093,1,698.5613799,314.2485352
545609,2/3/18 0:00,10096,1,67.78611968,108.2730425
545610,2/3/18 0:00,10100,1,481.715775,368.0533021
545611,2/3/18 0:00,10102,1,84.00812527,87.34674502
545612,2/3/18 0:00,10254,1,29.89935294,47.02513152
545613,2/3/18 0:00,10105,1,75.08751932,88.38520384
545614,2/3/18 0:00,10106,1,60.17676191,94.72194371
545615,2/3/18 0:00,10110,1,72.56911969,90.18491684
545616,2/3/18 0:00,10114,1,45.09033753,100.0239984
